2019, https://www.betexplorer.com/basketball/usa/nba/results/?stage=bPyjUVy1&month=all
2018, https://www.betexplorer.com/basketball/usa/nba-2018-2019/results/?stage=8Y7SorQp&month=all
2017, https://www.betexplorer.com/basketball/usa/nba-2017-2018/results/?stage=nJXsGvqj&month=all
2016, https://www.betexplorer.com/basketball/usa/nba-2016-2017/results/?stage=zPq9t1nb&month=all
2015, https://www.betexplorer.com/basketball/usa/nba-2015-2016/results/?stage=MDLVWKFc&month=all
2014, https://www.betexplorer.com/basketball/usa/nba-2014-2015/results/?stage=ShmZavVI&month=all
2013, https://www.betexplorer.com/basketball/usa/nba-2013-2014/results/?stage=4C5vWdeO&month=all
2012, https://www.betexplorer.com/basketball/usa/nba-2012-2013/results/?stage=MmxUanEr&month=all
2011, https://www.betexplorer.com/basketball/usa/nba-2011-2012/results/?stage=QoMJjjvA&month=all
2010, https://www.betexplorer.com/basketball/usa/nba-2010-2011/results/?stage=QNOSXUos&month=all
2009, https://www.betexplorer.com/basketball/usa/nba-2009-2010/results/?stage=Q99RmZmT&month=all
2008, https://www.betexplorer.com/basketball/usa/nba-2008-2009/results/?stage=nJANlFYM&month=all
2007, NA
2006, NA
2005, NA
2004, NA
2003, NA
2002, NA
2001, NA
2000, NA
1999, NA
1998, NA
1997, NA
1996, NA
1995, NA
1994, NA
1993, NA